duration,date,subjectcode,Abaser,Abassi,Abater,Abatis,Abator,Abbacy,Abbess,Abdest,Abider,Abject,Ablaut,Abraum,Abseil,Acacia,Acacin,Acajou,Acanth,Acarus,Acater,Acates,Accent,Access,Accost,Accrue,Accuse,Acetal,Acetin,Achate,Achean,Achene,b,c,d,e,f,g,h,i,j,k,l,m,comments
114,10/15/19 22:26,R_AtxlvuBFP55CfGV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,40,42,28,37,24,4,NO
117,10/15/19 22:26,R_2BkSZLDsLLVFv4v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,47,30,37,-38,-50,20,
138,10/15/19 22:26,R_25NSe1T1SmcFHXS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,21,21,21,-50,-50,20,,,,,,,,"It was not clear exactly was meant by John being ""better off"". Catching more fish faster? "
197,10/15/19 22:26,R_2CwAA2OtMCsLeyK,,,,,,,,,,,,,,,,,,,,,,41,11,11,12,-17,-49,20,,,,,,,,,,,,,,,No
192,10/15/19 22:26,R_3F3uNgmmoton5rm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,30,33,10,-12,-30,20,No
95,10/15/19 22:26,R_2B8W72sDRVw9gwp,,,,,,,,,,,,,,,,,,,,,,50,50,50,50,-12,-50,36,,,,,,,,,,,,,,,a lot
200,10/15/19 22:27,R_2ZPs1h6SDmdhrU3,18,1,-45,-43,-48,-50,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,it was weird
253,10/15/19 22:27,R_3JCogPSTg1maomr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,37,30,25,11,-9,20,nope
84,10/15/19 22:27,R_33qCQ3rEKm7oHlC,,,,,,,,20,16,-41,-42,-41,-42,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no
287,10/15/19 22:27,R_3mgVOU3A33fotGw,,,,,,,,,,,,,,,28,23,20,28,33,46,20,,,,,,,,,,,,,,,,,,,,,,no
241,10/15/19 22:27,R_qztq4ainV48iTT3,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,-24,-34,20,,,,,,,,,,,,,,,No
183,10/15/19 22:27,R_2bTBsPViaZeJbt8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,41,36,31,-34,-48,20,,,,,,,,No
222,10/15/19 22:27,R_1kLXFNpctXs4Ee5,,,,,,,,,,,,,,,40,50,-3,0,-10,32,20,,,,,,,,,,,,,,,,,,,,,,no
253,10/15/19 22:27,R_2t44stAJkm3GhPG,,,,,,,,50,-19,25,-30,42,-50,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None
105,10/15/19 22:28,R_81tK1oitugKV9Sh,1,1,-49,-49,-49,-50,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no
178,10/15/19 22:28,R_2D1abrnbBpjJAOH,,,,,,,,32,21,-41,-48,-50,-50,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No, it was not"
195,10/15/19 22:28,R_TjysJEQYVgrk8F3,,,,,,,,,,,,,,,35,20,-14,-15,-23,-30,20,,,,,,,,,,,,,,,,,,,,,,"No, I understood it."
134,10/15/19 22:28,R_24Iz90MW1zbdhwQ,,,,,,,,50,20,-50,-50,-50,-50,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no
230,10/15/19 22:28,R_3KPenDUetrTrwgk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,-2,-31,-49,20,,,,,,,,NO
227,10/15/19 22:28,R_xfryVXQ0lTu6Teh,,,,,,,,,,,,,,,50,40,1,20,10,-10,20,,,,,,,,,,,,,,,,,,,,,,the questions 
183,10/15/19 22:29,R_2v8q3bobHYxbL6r,20,31,-50,-50,-50,-50,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no
343,10/15/19 22:29,R_RLd8QPgnVc7QP6h,48,36,-25,-30,-41,-50,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
112,10/15/19 22:29,R_qCJnVlxkJ3ouPlf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,45,39,31,15,-50,20,,,,,,,,no straightforward 
142,10/15/19 22:29,R_3FOoTRgFZYrhe6a,2,2,-50,-50,-50,-50,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
136,10/15/19 22:29,R_1o1CITGM4vIoonc,,,,,,,,,,,,,,,49,41,35,46,-25,-20,20,,,,,,,,,,,,,,,,,,,,,,no
106,10/15/19 22:30,R_bslcyUEWAXXPAS5,,,,,,,,-5,18,8,15,13,11,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,10/15/19 22:30,R_3iVY6Ny2WWyCJMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,47,38,35,15,5,20,No
163,10/15/19 22:30,R_22lHdxkbm1rVhCw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,46,48,48,-31,-48,20,,,,,,,,No
51,10/15/19 22:30,R_10PAjTjgjeeVPao,,,,,,,,3,3,2,2,2,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
226,10/15/19 22:30,R_xEpk3cwZG9txqyl,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,-15,-24,20,,,,,,,,,,,,,,,No
667,10/15/19 22:31,R_sumwZfXr9emIwRb,,,,,,,,,,,,,,,,,,,,,,6,3,3,3,5,4,20,,,,,,,,,,,,,,,No 
76,10/15/19 22:31,R_3KRci45AIau6GWZ,-7,-20,-28,-33,-48,-50,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no
57,10/15/19 22:31,R_12QgwnRSKcYmsEf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,35,19,10,-50,-50,20,,,,,,,,no
173,10/15/19 22:31,R_1pWP5a73kNUjmaP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,40,40,40,40,20,No.
388,10/15/19 22:31,R_2flmpTZPD0QH80w,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-50,-50,20,,,,,,,,,,,,,,,No
55,10/15/19 22:31,R_2y8VYNpo5lWWNrm,,,,,,,,,,,,,,,,,,,,,,38,33,39,38,43,41,5,,,,,,,,,,,,,,,NO
112,10/15/19 22:31,R_2Y62p73KkzQCAUc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,49,50,35,14,-7,20,no
304,10/15/19 22:32,R_26axakPejG50W6I,,,,,,,,,,,,,,,50,50,35,35,15,10,20,,,,,,,,,,,,,,,,,,,,,,No
336,10/15/19 22:32,R_1GJ4vf0jInskZJ0,,,,,,,,,,,,,,,50,45,42,40,30,20,20,,,,,,,,,,,,,,,,,,,,,,No - they need more fish hatcheries.
166,10/15/19 22:33,R_3D0f2IGQaTEo8Af,,,,,,,,,,,,,,,50,47,42,-11,-23,-38,20,,,,,,,,,,,,,,,,,,,,,,No.
389,10/15/19 22:33,R_1ootIUaKPI4qkSH,,,,,,,,,,,,,,,,,,,,,,1,-2,-1,-2,-50,-50,20,,,,,,,,,,,,,,,no
134,10/15/19 22:33,R_1dNv3HdmpEn2Njw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,33,24,12,-31,20,No.
167,10/15/19 22:33,R_216DxQI2xh4Mffu,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-50,-50,20,,,,,,,,,,,,,,,
161,10/15/19 22:33,R_31EmbzTlM5TA4WZ,,,,,,,,40,10,-42,-50,-50,-50,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nope
95,10/15/19 22:33,R_3O2I7frA1ZmKCRw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,31,19,28,-30,-44,20,no
64,10/15/19 22:34,R_3oENXBRF9a8TvVo,,,,,,,,,,,,,,,,,,,,,,18,10,22,22,24,28,20,,,,,,,,,,,,,,,no
116,10/15/19 22:34,R_ahISpCqQsh7xbRn,-5,-15,-50,-50,-50,-50,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,10/15/19 22:34,R_3j9BEGtvgJBm49C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,46,36,24,-36,-44,20,,,,,,,,n/a
126,10/15/19 22:34,R_CetSZAQtYFvnmmt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,31,20,-30,-50,20,,,,,,,,Nope
331,10/15/19 22:35,R_1DHd2Ycaqgo1ur3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,43,3,5,-30,-50,20,,,,,,,,no
92,10/15/19 22:35,R_3s6sdIsWvMEm4YE,-7,-17,-36,-50,-26,-50,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no
177,10/15/19 22:35,R_3pb5xY9s2sl3kHI,,,,,,,,,,,,,,,42,42,20,32,-10,-20,20,,,,,,,,,,,,,,,,,,,,,,no
256,10/15/19 22:35,R_1k0w2rsBy4yBLQV,11,31,-50,-50,-50,-50,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no
