duration,date,subjectcode,Abaser,Abassi,Abater,Abatis,Abator,Abbacy,Abbess,Abdest,Abider,Abject,Ablaut,Abraum,Abseil,Acacia,Acacin,Acajou,Acanth,Acarus,Acater,Acates,Accent,Access,Accost,Accrue,Accuse,Acetal,Acetin,Achate,Achean,Achene,b,c,d,e,f,g,h,i,j,k,l,m,comments,RandA,RandAA,RandB,RandBB,RandC,RandCC,RandD,RandDD
347,10/11/19 8:10,R_3gZrve4zKQ5eFWu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,very clear,2,17,7,12,8,11,13,6
542,10/11/19 8:10,R_3qWhuVwBmWCHhEw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"not really,  I figured it out pretty quickly",2,17,7,12,8,11,13,6
438,10/11/19 8:10,R_3qUrg2jJtDFJCwx,0,2,20,0,1,0,3,0,7,20,0,0,0,2,0,8,20,0,0,0,2,0,13,20,0,0,0,2,0,19,20,0,0,0,2,0,0,20,0,1,0,3,it was clear thank you,2,17,7,12,8,11,13,6
368,10/11/19 8:10,R_sCohlZGy13wShkl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,2,17,7,12,8,11,13,6
571,10/11/19 8:10,R_2rV3ah6mxiagL3J,0,2,20,0,1,0,3,0,7,20,0,1,0,3,0,8,20,0,1,0,3,0,13,20,0,1,0,3,0,19,20,0,1,0,3,0,0,20,0,1,0,3,No,2,17,7,12,8,11,13,6
448,10/11/19 8:10,R_bqE1dmBIkfOod6V,0,2,20,0,0,0,2,0,7,20,0,0,0,2,0,8,20,0,0,0,2,0,13,20,0,0,0,2,0,19,20,0,0,0,2,0,0,20,0,0,0,2,"No, all was clear.",2,17,7,12,8,11,13,6
320,10/11/19 8:10,R_2YP4KzCx1cj4XDt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not really,2,17,7,12,8,11,13,6
515,10/11/19 8:10,R_3RwRxpQJzcytgR8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,it was a little odd. Why the repetition?,2,17,7,12,8,11,13,6
460,10/11/19 8:10,R_23UzZpw99NlT05A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No, just a lot of repeat questions",2,17,7,12,8,11,13,6
316,10/11/19 8:10,R_25TOWfcNKIuMzub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,2,17,7,12,8,11,13,6
557,10/11/19 8:10,R_ac0GVaNCOo7Xaxz,0,2,20,0,1,0,3,0,7,20,0,1,0,3,0,8,20,0,1,0,3,0,13,20,0,1,0,3,0,19,20,0,1,0,3,0,0,20,0,1,0,3,No,2,17,7,12,8,11,13,6
474,10/11/19 8:10,R_3h60wPmJgaF7VqZ,0,2,20,0,1,0,3,0,7,20,0,1,0,3,0,8,20,0,1,0,3,0,13,20,0,1,0,3,0,19,20,0,1,0,3,0,0,20,0,1,0,3,Not that I noticed,2,17,7,12,8,11,13,6
592,10/11/19 8:11,R_1E4ixYaEhVb1Zkv,0,2,20,0,0,0,3,0,7,20,0,0,0,3,0,8,20,0,0,0,3,0,13,20,0,0,0,3,0,19,20,0,0,0,3,0,0,20,0,0,0,3,No,2,17,7,12,8,11,13,6
535,10/11/19 8:11,R_ALP1vZuizBrKOlz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,2,17,7,12,8,11,13,6
247,10/11/19 8:11,R_WD6orHENExf3zYl,0,2,20,0,1,0,3,0,7,20,0,1,0,2,0,8,20,0,0,0,2,0,13,20,0,0,0,2,0,19,20,0,0,0,2,0,0,20,0,1,0,3,No,2,17,7,12,8,11,13,6
574,10/11/19 8:11,R_10ShDg1ThckWBxu,0,2,20,0,1,0,3,0,7,20,0,1,0,3,0,8,20,0,1,0,3,0,13,20,0,1,0,3,0,0,20,0,1,0,3,0,0,20,0,1,0,3,no,2,17,7,12,8,11,13,6
637,10/11/19 8:11,R_3EYGqsBMDXF5qCS,0,2,20,0,0,0,3,0,7,20,0,0,0,3,0,8,20,0,0,0,3,0,13,20,0,0,0,3,0,3,20,0,0,0,3,0,0,20,0,0,0,3,n/a,2,17,7,12,8,11,13,6
604,10/11/19 8:11,R_3qa1W3tGRk7XRkq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not really,2,17,7,12,8,11,13,6
489,10/11/19 8:11,R_1kUj1QMaqBp9QfF,1,2,20,0,0,0,3,1,7,20,0,0,0,3,1,8,20,0,0,0,3,1,13,20,0,0,0,3,1,19,20,0,0,0,3,1,0,20,0,0,0,3,,2,17,7,12,8,11,13,6
474,10/11/19 8:11,R_1eqwN1lQud8o5GS,0,2,20,0,1,0,3,0,7,20,0,1,0,3,0,8,20,0,1,0,3,0,10,20,0,1,0,3,0,19,20,0,0,0,3,0,0,20,0,1,0,3,No,2,17,7,12,8,11,13,6
585,10/11/19 8:12,R_3HMT9kCoYMGlOrm,0,2,20,0,1,0,3,0,7,20,0,1,0,3,0,8,20,0,1,0,3,0,13,20,0,1,0,3,0,19,20,0,1,0,3,19,0,20,0,1,0,3,no,2,17,7,12,8,11,13,6
